,District,No.,code,Name,,,,,,,,,
,4,01,C001,Adair,Adair,,,,,,,,
,4,02,C002,Adams,Adams,,,,,,,,
,2,03,C003,Allamakee,Allamakee,,,,,,,,
,5,04,C004,Appanoose,Appanoose,,,,,,,,
,4,05,C005,Audubon,Audubon,,,,,,,,
,6,06,C006,Benton,Benton,,,,,,,,
,2,07,C007,Black Hawk,Black Hawk,,,,,,,,
,1,08,C008,Boone,Boone,,,,,,,,
,2,09,C009,Bremer,Bremer,,,,,,,,
,6,10,C010,Buchanan,Buchanan,,,,,,,,
,3,11,C011,Buena Vista,Buena Vista,,,,,,,,
,2,12,C012,Butler,Butler,,,,,,,,
,3,13,C013,Calhoun,Calhoun,,,,,,,,
,3,14,C014,Carroll,Carroll,,,,,,,,
,4,15,C015,Cass,Cass,,,,,,,,
,6,16,C016,Cedar,Cedar,,,,,,,,
,2,17,C017,Cerro Gordo,Cerro Gordo,,,,,,,,
,3,18,C018,Cherokee,Cherokee,,,,,,,,
,2,19,C019,Chickasaw,Chickasaw,,,,,,,,
,5,20,C020,Clarke,Clarke,,,,,,,,
,3,21,C021,Clay,Clay,,,,,,,,
,2,22,C022,Clayton,Clayton,,,,,,,,
,6,23,C023,Clinton,Clinton,,,,,,,,
,3,24,C024,Crawford,Crawford,,,,,,,,
,4,25,C025,Dallas,Dallas,,,,,,,,
,5,26,C026,Davis,Davis,,,,,,,,
,5,27,C027,Decatur,Decatur,,,,,,,,
,6,28,C028,Delaware,Delaware,,,,,,,,
,5,29,C029,Des Moines,Des Moines,,,,,,,,
,3,30,C030,Dickinson,Dickinson,,,,,,,,
,6,31,C031,Dubuque,Dubuque,,,,,,,,
,3,32,C032,Emmet,Emmet,,,,,,,,
,2,33,C033,Fayette,Fayette,,,,,,,,
,2,34,C034,Floyd,Floyd,,,,,,,,
,2,35,C035,Franklin,Franklin,,,,,,,,
,4,36,C036,Fremont,Fremont,,,,,,,,
,1,37,C037,Greene,Greene,,,,,,,,
,1,38,C038,Grundy,Grundy,,,,,,,,
,4,39,C039,Guthrie,Guthrie,,,,,,,,
,1,40,C040,Hamilton,Hamilton,,,,,,,,
,2,41,C041,Hancock,Hancock,,,,,,,,
,1,42,C042,Hardin,Hardin,,,,,,,,
,4,43,C043,Harrison,Harrison,,,,,,,,
,5,44,C044,Henry,Henry,,,,,,,,
,2,45,C045,Howard,Howard,,,,,,,,
,2,46,C046,Humboldt,Humboldt,,,,,,,,
,3,47,C047,Ida,Ida,,,,,,,,
,6,48,C048,Iowa,Iowa,,,,,,,,
,6,49,C049,Jackson,Jackson,,,,,,,,
,1,50,C050,Jasper,Jasper,,,,,,,,
,5,51,C051,Jefferson,Jefferson,,,,,,,,
,6,52,C052,Johnson,Johnson,,,,,,,,
,6,53,C053,Jones,Jones,,,,,,,,
,5,54,C054,Keokuk,Keokuk,,,,,,,,
,2,55,C055,Kossuth,Kossuth,,,,,,,,
,5,56,C056,Lee,Lee,,,,,,,,
,6,57,C057,Linn,Linn,,,,,,,,
,5,58,C058,Louisa,Louisa,,,,,,,,
,5,59,C059,Lucas,Lucas,,,,,,,,
,3,60,C060,Lyon,Lyon,,,,,,,,
,4,61,C061,Madison,Madison,,,,,,,,
,5,62,C062,Mahaska,Mahaska,,,,,,,,
,5,63,C063,Marion,Marion,,,,,,,,
,1,64,C064,Marshall,Marshall,,,,,,,,
,4,65,C065,Mills,Mills,,,,,,,,
,2,66,C066,Mitchell,Mitchell,,,,,,,,
,3,67,C067,Monona,Monona,,,,,,,,
,5,68,C068,Monroe,Monroe,,,,,,,,
,4,69,C069,Montgomery,Montgomery,,,,,,,,
,5,70,C070,Muscatine,Muscatine,,,,,,,,
,3,71,C071,O'Brien,O'Brien,,,,,,,,
,3,72,C072,Osceola,Osceola,,,,,,,,
,4,73,C073,Page,Page,,,,,,,,
,3,74,C074,Palo Alto,Palo Alto,,,,,,,,
,3,75,C075,Plymouth,Plymouth,,,,,,,,
,3,76,C076,Pocahontas,Pocahontas,,,,,,,,
,1,77,C077,Polk,Polk,,,,,,,,
,4,78,C078,Pottawattamie,Pottawattamie,,,,,,,,
,1,79,C079,Poweshiek,Poweshiek,,,,,,,,
,4,80,C080,Ringgold,Ringgold,,,,,,,,
,3,81,C081,Sac,Sac,,,,,,,,
,6,82,C082,Scott,Scott,,,,,,,,
,4,83,C083,Shelby,Shelby,,,,,,,,
,3,84,C084,Sioux,Sioux,,,,,,,,
,1,85,C085,Story,Story,,,,,,,,
,1,86,C086,Tama,Tama,,,,,,,,
,4,87,C087,Taylor,Taylor,,,,,,,,
,4,88,C088,Union,Union,,,,,,,,
,5,89,C089,Van Buren,Van Buren,,,,,,,,
,5,90,C090,Wapello,Wapello,,,,,,,,
,5,91,C091,Waren,Warren,,,,,,,,
,5,92,C092,Washington,Washington,,,,,,,,
,5,93,C093,Wayne,Wayne,,,,,,,,
,1,94,C094,Webster,Webster,,,,,,,,
,2,95,C095,Winnebago,Winnebago,,,,,,,,
,2,96,C096,Winneshiek,Winneshiek,,,,,,,,
,3,97,C097,Woodbury,Woodbury,,,,,,,,
,2,98,C098,Worth,Worth,,,,,,,,
,2,99,C099,Wright,Wright,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
